,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_ident,AcidoCitrico_raiz4,Azucar_raiz4,CloruroSodico_exp,Densidad_raiz4,pH_ident,Sulfatos_raiz4,Alcohol_sqr,CalifProductor_ident,PrecioBotella_raiz4,aleatorio_raiz4,aleatorio2_log,Compra
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,15.4,2,1.0,M,***,1.0,7.6923076923076925,0.15584329033506983,0.5799497543812552,2.2101,1.0935574450753307,3.328213893170586,1.6243374344662596,1.1807117946466161,4.610099999999999,1.2993167122751494,237.16308001000002,2.0001,1.1892219798129464,0.6285214154172498,-0.5445421847952868,1
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,3.0,0.0,0.35412169454445874,0.3523955903786674,4.690099999999999,1.0799227994756098,3.24878817081508,2.5782219637100847,1.1757074289220752,4.350099999999999,1.2734827462711917,484.00440001,3.0001,1.4466750998179934,0.7715308814403641,-1.0425539149084606,1
2,0.29,-0.4,21.5,0.06,0.99572,3.49,1.21,10.3,3,3.72,R,Desc,1.0,0.0,0.5289650828601143,0.7308472775318573,2.3401,1.164690025978279,3.2965720059541717,2.63820826699025,1.1757904885458406,4.7201,1.353904559049737,106.09206001000001,3.0001,1.4739671341259932,0.8529044717385902,-0.3133352150813016,0
3,-1.22,0.34,1.4,0.04,1.03236,3.2,0.33,11.6,2,6.23,B,***,2.0,7.6923076923076925,0.2517615573623596,0.39053254361782597,0.8300999999999998,1.2673866690002664,3.1463470862848397,2.585968243210757,1.1813855768587607,4.4300999999999995,1.2549236329410878,134.56232000999998,2.0001,1.6397818535053785,0.7084986452872508,-0.9398406324093564,1
4,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,2.0,0.0,0.9466571184701923,0.8268383913823696,2.3201,1.3467974162451317,3.222590615334488,2.467239711416295,1.17586430454808,6.1601,1.245973385399232,225.00300001,1.0001,1.3618923074518512,0.9864442900303083,-0.18995549146640509,1
5,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,2.0,0.0,0.38200083741199786,0.8886845912319742,1.8300999999999998,1.2734827462711917,3.1495527388178477,1.883440203308775,1.168262379178223,4.3201,1.3049781597216514,158.76252000999997,3.0001,1.5180136436838294,0.7862786865786769,-0.11783562802004668,1
6,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,1.0,0.0,0.2391616406056033,0.43931769512799845,2.2701000000000002,1.2854187742853884,3.216222204150378,2.1384900588106057,1.1854312756103051,4.2401,1.150179747448051,104.04204000999998,5.0001,1.5485272399951857,0.6994704605124668,-0.8221738882520692,1
7,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,1.0,0.0,0.007126502233368526,0.8057115865075651,2.3801,1.0422687162511273,3.1591114209423767,4.170767201235952,1.171259628377888,4.780099999999999,1.0657512330991008,15.21078001,2.0001,1.2233954233983266,0.29269247104127843,-0.21583391116367942,1
8,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,3.0,0.0,0.5887165195940244,0.9825434759500905,2.3701,1.2673866690002664,3.145544140226227,2.5911453550833476,1.16951312263905,4.1601,1.4408601712919664,144.00240001,3.0001,1.5272204147282562,0.8760235215980006,-0.017450349482218856,1
9,0.51,1.83,2.9,-0.165,0.9974,6.02,2.23,12.1,4,2.55,R,Desc,1.0,0.0,0.8643017035595427,0.6256582825291748,2.5601,1.4203692773750147,3.1583181733599632,2.1066520896567833,1.1760487837589415,7.2501,1.4466750998179934,146.41242000999998,4.0001,1.3726510500485618,0.9642575604527296,-0.46869914821491215,1
